date,year,person,desc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April 1,996,John XV,pope of the Catholic Church
April 1,1085,Shen Zong,Chinese emperor (b. 1048)
April 1,1132,Hugh of Châteauneuf,French bishop (b. 1053)
April 1,1204,Eleanor of Aquitaine,queen of France and England (b. 1122)
April 1,1205,Amalric II,king of Cyprus and Jerusalem
April 1,1282,Abaqa Khan,ruler of the Mongol Ilkhanate (b. 1234)
April 1,1431,Nuno Álvares Pereira,Portuguese general (b. 1360)
April 1,1441,Blanche I,queen of Navarre and Sicily (b. 1387)
April 1,1455,Zbigniew Oleśnicki,Polish cardinal and statesman (b. 1389)
April 1,1528,Francisco de Peñalosa,Spanish composer (b. 1470)
April 1,1548,Sigismund I,king of Poland (b. 1467)
April 1,1580,Alonso Mudarra,Spanish guitarist and composer (b. 1510)
April 1,1601,Françoise d'Orléans-Longueville,French princess (b. 1549)
April 1,1621,Cristofano Allori,Italian painter and educator (b. 1577)
April 1,1682,Franz Egon of Fürstenberg,Bavarian bishop (b. 1625)
April 1,1787,Floyer Sydenham,English scholar and academic (b. 1710)
April 1,1839,Benjamin Pierce,American soldier and politician,11th Governor of New Hampshire (b. 1757)
April 1,1865,Giuditta Pasta,Italian soprano (b. 1797)
April 1,1872,Frederick Denison Maurice,English theologian and academic (b. 1805)
April 1,1878,John C.W. Daly,English-Canadian soldier and politician (b. 1796)
April 1,1890,David Wilber,American politician (b. 1820)
April 1,1890,Alexander Mozhaysky,Russian soldier,pilot,and engineer (b. 1825)
April 1,1914,Rube Waddell,American baseball player (b. 1876)
April 1,1914,Charles Wells,English founder of Charles Wells Ltd (b. 1842)
April 1,1917,Scott Joplin,American pianist and composer (b. 1868)
April 1,1920,Walter Simon,German banker and philanthropist (b. 1857)
April 1,1922,Charles I,emperor of Austria (b. 1887)
April 1,1922,Hermann Rorschach,Swiss psychologist and author (b. 1884)
April 1,1924,Jacob Bolotin,American physician (b. 1888)
April 1,1924,Lloyd Hildebrand,English cyclist (b. 1870)
April 1,1924,Stan Rowley,Australian sprinter (b. 1876)
April 1,1946,Noah Beery,Sr.,American actor (b. 1882)
April 1,1947,George II,king of Greece (b. 1890)
April 1,1950,Charles R. Drew,American physician and surgeon (b. 1904)
April 1,1950,Recep Peker,Turkish soldier and politician,6th Prime Minister of Turkey (b. 1889)
April 1,1962,Jussi Kekkonen,Finnish captain and businessman (b. 1910)
April 1,1965,Helena Rubinstein,Polish-American businesswoman (b. 1870)
April 1,1966,Brian O'Nolan,Irish author (b. 1911)
April 1,1968,Lev Landau,Azerbaijani-Russian physicist and academic,Nobel Prize laureate (b. 1908)
April 1,1976,Max Ernst,German painter and sculptor (b. 1891)
April 1,1981,Eua Sunthornsanan,Thai singer-songwriter and bandleader (b. 1910)
April 1,1984,Marvin Gaye,American singer-songwriter (b. 1939)
April 1,1984,Elizabeth Goudge,English author (b. 1900)
April 1,1986,Erik Bruhn,Danish actor,director,and choreographer (b. 1928)
April 1,1987,Henri Cochet,French tennis player (b. 1901)
April 1,1991,Martha Graham,American dancer and choreographer (b. 1894)
April 1,1991,Jaime Guzmán,Chilean lawyer and politician (b. 1946)
April 1,1992,Michael Havers,Baron Havers,English lawyer and politician,Lord High Chancellor of Great Britain (b. 1923)
April 1,1993,Alan Kulwicki,American race car driver (b. 1954)
April 1,1994,Robert Doisneau,French photographer (b. 1912)
April 1,1995,H. Adams Carter,American mountaineer,journalist,and educator (b. 1914)
April 1,1995,Francisco Moncion,Dominican American ballet dancer,choreographer,charter member of the New York City Ballet (b. 1918)
April 1,1995,Lucie Rie,Austrian-English potter (b. 1902)
April 1,1997,Makar Honcharenko,Ukrainian footballer and manager (b. 1912)
April 1,1998,Rozz Williams,American singer-songwriter and guitarist (b. 1963)
April 1,1999,Jesse Stone,American pianist,songwriter,and producer (b. 1901)
April 1,2001,Trịnh Công Sơn,Vietnamese guitarist and composer (b. 1939)
April 1,2002,Simo Häyhä,Finnish soldier and sniper (b. 1905)
April 1,2003,Leslie Cheung,Hong Kong singer-songwriter and actor (b. 1956)
April 1,2004,Ioannis Kyrastas,Greek footballer and manager (b. 1952)
April 1,2004,Carrie Snodgress,American actress (b. 1945)
April 1,2005,Paul Bomani,Tanzanian politician and diplomat,1st Tanzanian Minister of Finance (b 1925)
April 1,2005,Robert Coldwell Wood,American political scientist and academic (b. 1923)
April 1,2006,In Tam,Cambodian general and politician,26th Prime Minister of Cambodia (b. 1916)
April 1,2010,John Forsythe,American actor (b. 1918)
April 1,2010,Tzannis Tzannetakis,Greek soldier and politician,175th Prime Minister of Greece (b. 1927)
April 1,2012,Lionel Bowen,Australian soldier,lawyer,and politician,Deputy Prime Minister of Australia (b. 1922)
April 1,2012,Giorgio Chinaglia,Italian-American soccer player and radio host (b. 1947)
April 1,2012,Miguel de la Madrid,Mexican banker,academic,and politician,52nd President of Mexico (b. 1934)
April 1,2013,Moses Blah,Liberian general and politician,23rd President of Liberia (b. 1947)
April 1,2013,Karen Muir,South African swimmer and physician (b. 1952)
April 1,2014,King Fleming,American pianist and bandleader (b. 1922)
April 1,2014,Jacques Le Goff,French historian and author (b. 1924)
April 1,2014,Rolf Rendtorff,German theologian and academic (b. 1925)
April 1,2015,Nicolae Rainea,Romanian footballer and referee (b. 1933)
April 1,2017,Lonnie Brooks,American blues singer and guitarist (b. 1933)
April 1,2017,Yevgeny Yevtushenko,Soviet and Russian poet and writer (b. 1932)
April 1,2018,Steven Bochco,American television writer and producer (b. 1943)
April 1,2019,Vonda N. McIntyre,American science fiction author (b. 1948)
April 2,670,Hasan ibn Ali the second Shia Imam (b. 624)
April 2,870,Æbbe the Younger,Frankish abbess
April 2,872,Muflih al-Turki,Turkish general
April 2,968,Yuan Dezhao,Chinese chancellor (b. 891)
April 2,991,Bardas Skleros,Byzantine general
April 2,1118,Baldwin I,king of Jerusalem
April 2,1244,Henrik Harpestræng,Danish botanical and medical author
April 2,1272,Richard,1st Earl of Cornwall,English husband of Sanchia of Provence (b. 1209)
April 2,1335,Henry of Bohemia (b. 1265)
April 2,1412,Ruy González de Clavijo,Spanish explorer and author
April 2,1416,Ferdinand I,king of Aragon (b. 1379)
April 2,1502,Arthur,prince of Wales (b. 1486)
April 2,1507,Francis of Paola,Italian friar and saint,founded the Order of the Minims (b. 1416)
April 2,1511,Bernard VII,Lord of Lippe,German nobleman (b. 1428)
April 2,1640,Maciej Kazimierz Sarbiewski,Polish author and poet (b. 1595)
April 2,1657,Ferdinand III,Holy Roman Emperor (b. 1608)
April 2,1657,Jean-Jacques Olier,French priest,founded the Society of Saint-Sulpice (b. 1608)
April 2,1672,Pedro Calungsod,Filipino missionary and saint (b. 1654)
April 2,1672,Diego Luis de San Vitores,Spanish Jesuit missionary (b. 1627)
April 2,1720,Joseph Dudley,English politician,Governor of the Province of Massachusetts Bay (b. 1647)
April 2,1742,James Douglas,Scottish physician and anatomist (b. 1675)
April 2,1747,Johann Jacob Dillenius,German-English botanist and mycologist (b. 1684)
April 2,1754,Thomas Carte,English historian and author (b. 1686)
April 2,1787,Thomas Gage,English general and politician,Governor of the Province of Massachusetts Bay (b. 1719)
April 2,1791,Honoré Gabriel Riqueti,comte de Mirabeau,French journalist and politician (b. 1749)
April 2,1801,Thomas Dadford,Jr.,English engineer (b. 1761)
April 2,1803,Sir James Montgomery,1st Baronet,Scottish judge and politician (b. 1721)
April 2,1817,Johann Heinrich Jung,German author and academic (b. 1740)
April 2,1827,Ludwig Heinrich Bojanus,German physician and educator (b. 1776)
April 2,1845,Philip Charles Durham,Scottish admiral and politician (b. 1763)
April 2,1865,A. P. Hill,American general (b. 1825)
April 2,1872,Samuel Morse,American painter and academic,invented the Morse code (b. 1791)
April 2,1891,Albert Pike,American lawyer and general (b. 1809)
April 2,1891,Ahmed Vefik Pasha,Greek playwright and politician,249th Grand Vizier of the Ottoman Empire (b. 1823)
April 2,1894,Achille Vianelli,Italian painter and academic (b. 1803)
